chip_id,gt_cloud_ratio,pred_cloud_ratio,gt_irradiance,pred_irradiance
wbjm,71.580505,70.67566,427.35596,434.5947
gqpl,55.77545,53.959656,553.7964,568.32275
yxlg,100.0,100.0,199.99998,199.99998
nlyd,100.0,100.0,199.99998,199.99998
sqli,100.0,100.0,199.99998,199.99998
pbnb,45.75653,43.899536,633.94775,648.8037
iwag,0.11291504,0.50354004,999.0967,995.9717
dyvm,7.4630737,7.1868896,940.2954,942.5049
yben,95.46356,96.86432,236.29147,225.08543
ytcd,0.6530762,0.5584717,994.7754,995.5322
agsm,45.140076,35.54077,638.8794,715.6738
daqc,100.0,83.38013,199.99998,332.95898
qkmf,100.0,100.0,199.99998,199.99998
